trade_date,open,high,low,close,pct_chg,vol,amount,adj_factor,open_qfq,close_qfq,high_qfq,low_qfq,open_hfq,close_hfq,high_hfq,low_hfq
20250618,246.98,249.58,245.57,245.57,-0.28,104606,2586544,1.912500,242.29,240.91,244.84,240.91,246.98,245.57,249.58,245.57
20250619,245.30,246.16,241.60,242.10,-1.41,147985,3604509,1.912500,240.64,237.51,241.49,237.01,245.30,242.10,246.16,241.60
20250620,241.06,243.12,239.50,240.26,-0.76,136883,3293986,1.912500,236.48,235.70,238.51,234.95,241.06,240.26,243.12,239.50
20250623,239.30,240.60,238.03,239.61,-0.27,127099,3040681,1.912500,234.76,235.06,236.03,233.51,239.30,239.61,240.60,238.03
20250624,240.58,248.08,240.58,245.92,2.63,235011,5767361,1.912500,236.01,241.25,243.37,236.01,240.58,245.92,248.08,240.58
20250625,246.50,255.88,246.00,254.90,3.65,315377,7930321,1.912500,241.82,250.06,251.02,241.33,246.50,254.90,255.88,246.00
20250626,255.88,256.29,252.36,252.79,-0.83,199145,5062387,1.912500,251.02,247.99,251.43,247.57,255.88,252.79,256.29,252.36
20250627,256.50,257.45,250.11,250.99,-0.71,236201,5985027,1.912500,251.63,246.23,252.56,245.36,256.50,250.99,257.45,250.11
20250630,251.50,253.50,249.70,252.22,0.49,176234,4434817,1.912500,246.73,247.43,248.69,244.96,251.50,252.22,253.50,249.70
20250701,252.50,252.74,249.88,251.50,-0.29,95323,2395104,1.912500,247.71,246.73,247.94,245.14,252.50,251.50,252.74,249.88
20250702,251.50,252.01,249.19,250.45,-0.42,115714,2897312,1.912500,246.73,245.70,247.23,244.46,251.50,250.45,252.01,249.19
20250703,251.47,263.21,250.59,262.59,4.85,338037,8746804,1.912500,246.70,257.61,258.21,245.83,251.47,262.59,263.21,250.59
20250704,265.01,269.98,260.98,265.80,1.22,272060,7214228,1.912500,259.98,260.76,264.86,256.03,265.01,265.80,269.98,260.98
20250707,265.80,268.88,258.88,260.89,-1.85,174665,4568973,1.912500,260.76,255.94,263.78,253.97,265.80,260.89,268.88,258.88
20250708,260.70,265.90,259.82,263.31,0.93,155923,4104293,1.912500,255.75,258.31,260.85,254.89,260.70,263.31,265.90,259.82
20250709,262.20,274.46,262.10,270.80,2.84,293884,7948424,1.912500,257.22,265.66,269.25,257.13,262.20,270.80,274.46,262.10
20250710,274.99,274.99,268.50,272.00,0.44,242393,6594201,1.912500,269.77,266.84,269.77,263.40,274.99,272.00,274.99,268.50
20250711,271.50,274.00,270.10,271.50,-0.18,213282,5798544,1.912500,266.35,266.35,268.80,264.97,271.50,271.50,274.00,270.10
20250714,271.00,271.32,266.10,268.50,-1.10,149789,4013693,1.912500,265.86,263.40,266.17,261.05,271.00,268.50,271.32,266.10
20250715,268.50,272.50,266.00,267.75,-0.28,169526,4553828,1.912500,263.40,262.67,267.33,260.95,268.50,267.75,272.50,266.00
20250716,268.50,268.70,263.04,264.40,-1.25,156265,4135841,1.912500,263.40,259.38,263.60,258.05,268.50,264.40,268.70,263.04
20250717,265.37,267.75,264.36,265.50,0.42,145110,3852746,1.912500,260.33,260.46,262.67,259.34,265.37,265.50,267.75,264.36
